game_id,date,duration_minutes,kills,deaths,accuracy,result,reaction_time_ms
G001,2026-08-03,34,12,9,38,WIN,248
G002,2026-08-03,41,15,8,42,WIN,231
G003,2026-08-04,29,9,11,35,LOSS,276
G004,2026-08-04,46,17,7,47,WIN,219
G005,2026-08-05,37,13,10,40,LOSS,254
G006,2026-08-05,39,14,9,41,WIN,243
G007,2026-08-06,44,16,8,45,WIN,225
G008,2026-08-06,52,24,6,55,WIN,198
G009,2026-08-07,31,11,12,36,LOSS,284
G010,2026-08-07,48,18,7,49,WIN,212
G011,2026-08-08,36,13,9,,LOSS,267
G012,2026-08-08,43,15,8,43,WIN,236
G013,2026-08-09,33,10,10,37,LOSS,271
G014,2026-08-09,25,6,9,31,LOSS,301
G015,2026-08-10,47,17,6,43,WIN,222
